#+TITLE: NATUURKUNDE VWO: OPGAVENPLANNER 2024-2025
#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil

* Hd1
** Hd1.txt

| Opgave | Gegeven                            | Formules/Concepten                   | Gevraagd                      |
|  Opgave | Gegeven                            | Formules/Concepten                   | Gevraagd                      |
|----------------|--------------------------------|---------------------------------|----------------------------------------------------|
| 1              | Golven (MRI, echografie)       | Frequentie, Magnetisch veld      | Frequenties, veldsterkte, verschillen in golven   |
| 2              | Gel                            | Geluidssnelheid, Reflectie        | Effect van gel, frequentie, reflectie             |
| 3              | Echografie, Ader                | Golflengte, Frequentie            | Frequentie voor zichtbaarheid van ader            |
| 4              | Ultrasone golven, Transducer    | Geluidssnelheid, Tijd             | Tijd voor terugkeer van geluid, frequentie        |
| 5              | MRI-apparaat, Radiostraling     | Golflengte, Resonantie, Magnetisch veld | Golflengte, veldsterkte, relaxatietijden        |
| 6              | UV-straling, Fotonen            | Ionisatie-energie                 | Energie van fotonen, ionisatie-energie            |
| 7              | Gammastraling, Ijzeren platen    | Absorptie, Energie                | Dikte van plaat, absorptie                         |
| 8              | Verpakkingen (Ijzer, Aluminium, Beton) | Gammastraling, Wanddikte       | Veilige verpakking, wanddikte                     |
| 9              | Röntgenfoto’s, Weefsel           | Halveringsdikte, Intensiteit      | Vergelijking van intensiteit, aanwezigheid van beenmerg |
| 10             | Bariumpap, Röntgenfoto           | Halveringsdikte                    | Halveringsdikte van bariumpap                      |
| 11             | Aluminium platen, Röntgenstraling | Halveringsdikte, Stralingsintensiteit | Effect van dikte op straling                      |
| 12             | Aluminium cilinder, Röntgenstraling | Halveringsdikte, Stralingsintensiteit | Kleur op basis van doorgelaten straling            |
| 13             | Atomen, Protonen, Neutronen      | Isotopen, Straling                 | Notatie, stralingstype, aantal isotopen            |
| 14             | Isotopen                         | Stabiliteit, Vervalreactie         | Stabiliteit, vervalreacties                       |
| 15             | Technetium-preparaat, Fotonen    | Vervalreactie, Straling            | Vervalreacties, types van uitgezonden straling     |
| 16             | α-deeltje, β-deeltje, Atomen     | Ionisatie-energie, Snelheid        | Ionisatie, dracht van de deeltjes                 |
| 17             | Achtergrondstraling, Bergen      | Stralingsniveaus                   | Oorzaken van hogere straling                       |
| 18             | Uranium-238, Lood-206            | Vervalreeks, α- en β-deeltjes      | Aantal α- en β-deeltjes bij verval                |
| 19             | PET-scanner, F-18                 | Vervalreactie, Lichtstraal         | Vervalreacties, tijdsduur voor detectie            |
| 20             | I-123-preparaat, Schildklier     | Activiteit, Halveringstijd         | Activiteitsafname, reden voor wachttijd           |
| 21             | I-131, Activiteit                 | Halveringstijd, Massa              | Hoeveelheid, halveringstijd, activiteit            |
| 22             | Cesium-137, Strontium-90          | Halveringstijd, Activiteit         | Halveringstijd, afname van activiteit              |
| 23             | Radioactieve preparaten, α-deeltjes | Activiteit, Halveringstijd       | Stabiliteit, activiteit, aantal alfadeeltjes       |
| 24             | Splijtstoffen, Radioactieve atomen | Halveringstijd, Activiteit         | Halveringstijd, activiteit van stoffen             |
| 25a              | Monster met I-125 en I-131                    | Vervalwet van radioactieve stoffen           | Hoeveelheid I-131 op t = 56 dagen                      |
| 25b              | Monster met I-125 en I-131                    | Activiteitswet van radioactieve stoffen      | Activiteit van I-125 op t = 59 dagen                   |
| 25c              | Monster met I-125 en I-131                    | Vervalwet van radioactieve stoffen           | Activiteit van I-131 op t = 0 dagen                    |
| 26a              | Badge van verpleegkundige                     | Interactie van straling met film             | Geen blootstelling aan bètastraling                     |
| 26b              | Badge van verpleegkundige                     | Interactie van straling met film             | Wit gebied zonder alfastraling                          |
| 26c              | Badge van verpleegkundige                     | Intensie van straling                         | Intensiteit van alfastraling versus gammastraling       |
| 27a              | Radon-222 in lucht                            | Vervalvergelijking van radon-222             | Vervalvergelijking van radon-222                        |
| 27b              | Radon-222 in lucht                            | Vervalvergelijking van radon-222             | Activiteit van radon-222 per m³ lucht                  |
| 27c              | Radon-222 in lucht, massa van longen           | Stralingsdosisberekening                     | Equivalente dosis per jaar van radon-222               |
| 28a              | Stralingsmeter                                | Interactie van straling met detector         | Meten van besmetting versus bestraling                 |
| 28b              | Mondkapje, handschoenen, speciaal pak         | Bescherming tegen besmetting                 | Bescherming tegen besmetting                           |
| 28c              | Mondkapje, handschoenen, speciaal pak         | Bescherming tegen bestraling                | Bescherming tegen bestraling                           |
| 29a              | Tumorbestraling met gamma-straling             | Stralingsdosis en spreiding van bronnen      | Voordelen van gebruik van drie bronnen                 |
| 29b              | Tumorbestraling met gamma-straling             | Stralingsdosis en spreiding van bronnen      | Geschiktheid voor diepliggende versus oppervlakkige tumoren |
| 30a              | Röntgen- en gammastraling, alfastraling, bètastraling | Effectiviteit van verschillende stralers | Geschiktheid van verschillende stralers                |
| 30b              | Inwendige stralingsbron, capsule               | Inwendige stralingseffecten                  | Gebruik van alfa- of bètastralers                       |
| 31a              | Röntgenfoto van borstkas                       | Stralingsdosis en equivalente dosis          | Stralingsdosis gelijk aan equivalente dosis            |
| 31b              | Röntgenfoto van borstkas, aantal fotonen       | Stralingsdosis en fotonenabsorptie           | Totaal aantal röntgenfotonen                            |
| 32a              | Banaan met K-40                               | Vervalreactie van K-40                        | Vervalreactie van K-40                                 |
| 32b              | Banaan met K-40                               | Radioactiviteit en voedselconsumptie          | Effect van vers of niet-vers banaan                    |
| 32c              | Kalium in lichaam                             | Activiteit van K-40 en stralingsdosis        | Aantal bananen voor stralingsnorm overschrijding        |
| 32d              | Kalium in lichaam, energie van elektron       | Stralingsdosis en lichaamsactiviteit         | Jaarlijkse equivalente stralingsdosis                  |
| 33a              | Radon-222 in lucht, diagram                   | Verval van radon-222                        | Vrijkomen van α-deeltje bij verval                      |
| 33b              | Vervalreeks van radon-222                     | Verval van radon-222                        | Isotoop ontstaan uit vervalreeks                        |
| 33c              | Radon-222 in lucht, stralingsenergie          | Energieabsorptie per verval                  | Energieabsorptie per uur in longweefsel                |
| 33d              | Radon-222 in lucht, stralingsweefactor        | Stralingsdosis en massa van longen            | Equivalente dosis door radon in longen                 |
| 33e              | Radon-222 in lucht, stralingsniveau            | Stralingsniveau in WL                        | Stralingsniveau in WL van Radon Health Mine             |
| 34a              | Wijnfles, C-14, O-15, H-3                      | Verval en detectiemethoden                   | Geschiktheid van H-3 voor leeftijdsbepaling              |
| 34b              | Wijnfles, H-3, glas                           | Dracht van β-straling                         | Dracht van β-straling door glas                         |
| 34c              | Cs-137, γ-foton                                | Verval van Cs-137                            | Vergelijking van verval van Cs-137 naar grondtoestand   |
| 34d              | Cs-137, γ-foton                                | Golflengte van γ-foton                        | Golflengte van γ-foton                                  |
| 34e              | Franse wijnen, Cs-137                         | Activiteitsmeting van γ-straling               | Verwachte activiteit van Cs-137 in wijn uit 1960       |
| 34f              | Franse wijnen, gemeten activiteit              | Activiteitsmeting van γ-straling               | Reden voor onbetrouwbaarheid van jaartal                |

* Hd12
** Hd12.txt
|  Opgave | Gegeven                            | Formules/Concepten                   | Gevraagd                      |
|----------------|--------------------------------------------------|-----------------------------------------------------|---------------------------------------------------------------------|
| 1              | Lichtjaar, Sirius, Zon, Proxima Centauri        | Lichtsnelheid, Wet van Stefan-Boltzmann             | 1a: Lichtjaar in meters, 1b: Lichtjaar voor Sirius, 1c: Stralingsspectrum, 1d: Relatieve lichtsterkte van Sirius, 1e: Straal van Proxima Centauri in zonstralen |
| 2              | Gloeilamp, Halogeenlamp                           | Wet van Planck, Wet van Stefan-Boltzmann             | 2a: Planckkrommen, 2b: Temperatuurbestendigheid van kwarts, 2c: Spectrum rendement, 2d: Vergelijking rendement gloeilamp en halogeenlamp, 2e: Stralingskromme voor aangepast oppervlak |
| 3              | Wega, Zon                                        | Wet van Stefan-Boltzmann, Wet van Wien               | 3a: Temperatuur afleiden, 3b: Percentage stralingsintensiteit zichtbaar licht, 3c: Vergelijking uitgestraald vermogen met de zon |
| 4              | Zon, Mars                                       | Wet van Stefan-Boltzmann, Zonneconstante             | 4a: Zonneconstante op Mars verklaren, 4b: Stalingsvermogen op Mars, 4c: Gemiddelde temperatuur Marsoppervlak |
| 5              | Menselijk lichaam                                | Wet van Stefan-Boltzmann                             | 5a: Formule afleiden, 5b: Energie-uitzending Douwe, 5c: Vergelijking met kamperen buiten |
| 6              | Zonnevlekken, Zon                                | Wet van Stefan-Boltzmann                             | 6a: Oppervlaktetemperatuur van zonnevlekken, 6b: Kleur van zonnevlekken, 6c: Intensiteit van zonnevlekken vergelijken met normaal oppervlak van de zon |
| 7              | NGC 1512, Hubble-telescoop                       | Wet van Stefan-Boltzmann                             | 7a: Temperatuur in kern en buitenrand, 7b: Omtrek buitenrand, 7c: Effectieve temperatuur clusters |
| 8              | Zon                                              | Kernfusie processen                                  | 8a: Energie vrijkomen bij waterstoffusie, 8b: Energie vrijkomen bij helium-4 vorming, 8c: Massa waterstof omgezet in helium-4 per seconde |
| 9              | Zon                                              | Kernfusie processen                                  | 9a: Helium-4 uit helium-3 vormen, 9b: Hoeveelheid helium-4-kernen per seconde, 9c: Massa omgezet in energie per seconde |
| 10             | Neutronenster                                    | Massa-volume relatie, Wet van Stefan-Boltzmann       | 10a: Dichtheid neutronenster, 10b: Oppervlaktetemperatuur, 10c: Snelheid op evenaar van pulsar |
| 11             | Onbekende ster, Betelgeuze, Rigel                 | HR-diagram, Massa-lichtsterkte relatie               | 11a: Sterren identificeren, 11b: Effectieve temperatuur vergelijken, 11c: Positie in HR-diagram |
| 12             | Zon                                              | Levenscyclus van sterren                             | 12a: Temperatuur van de zon als rode reus, 12b: Opgeslokte planeten, 12c: Straal van de zon als witte dwerg |
| 13             | Sirius, Aldebaran                                | HR-diagram                                           | 13a: Kleur van Sirius, 13b: Verhouding van stralen, 13c: Levenscyclus van sterren |
| 14             | Betelgeuze                                        | Massa-lichtsterkte relatie, Wet van Stefan-Boltzmann | 14a: Kleur en straling van Betelgeuze, 14b: Supernova potentiële massa, 14c: Stralingsintensiteit van gammaflits |
| 15             | Waterstofatoom                                    | Energie-niveaus, Emissielijnen                       | 15a: Toestand van waterstofatoom, 15b: Terugvalmanieren, 15c: Overgangen zichtbaar licht |
| 16             | Spectrum van een ster                            | Absorptie- en emissiespectra                          | 16a: Soort spectrum, 16b: Element identificeren, 16c: Vergelijking temperatuur ster met de zon |
| 17             | Zon, Helium                                      | Absorptielijnen, Atmosfeer van de zon                | 17a: Helium ontdekking verklaring, 17b: Sterkte absorptielijnen bij lage zonnestand, 17c: Helium absorptielijnen bij lage zonnestand, 17d: Extra absorptielijnen bij waterstof |
| 18             | Atoom, Noorder- en zuiderlicht                    | Kinetische energie van elektronen                     | 18a: Verklaring kleuren, 18b: Minimale snelheid van elektron |
| 19             | Waterpluimen op Europa                           | Absorptiespectrum                                    | 19a: Ontstaan van zwarte lijnen, 19b: Absorptielijn identificeren |
| 20             | Atoom                                             | Energie-niveaus, Emissielijnen                       | 20a: Grootste golflengte straling, 20b: Aantal emissielijnen, 20c: Mogelijkheid van energieniveauschema |
| 21a         | Groepje zonnevlekken A, spectrum 1, spectrum 3 | Dopplereffect                            | Spectrum bij groepje zonnevlekken A      |
| 21b         | Groepje zonnevlekken A                | Dopplereffect                            | Snelheid van groepje zonnevlekken A      |
| 21c         | Groepje zonnevlekken A                | Rotatie van de zon                       | Tijd voor één rotatie van de zon         |
| 22a         | Twee sterren                         | Rood- en blauwverschuiving               | Aanwezigheid van een zwart gat           |
| 22b         | Ster, exoplaneet                      | Newtons tweede wet                        | Cirkelbeweging van de ster                |
| 22c         | Ster, exoplaneet                      | Newtons eerste wet                        | Dopplereffect van de ster                |
| 22d         | Exoplaneet                           | Spectroscopie                            | Samenstelling van de dampkring           |
| 23a         | Kosmische achtergrondstraling        | Stefan-Boltzmann wet                     | Aantal fotonen per seconde               |
| 23b         | Kosmische achtergrondstraling        | Planck-stralingswet                       | Temperatuur van de achtergrondstraling   |
| 23c         | Kosmische achtergrondstraling        | Dopplereffect                            | Roodverschuiving door uitdijing van het heelal |
| 24a         | Materie rond zwart gat                | Dopplereffect, relativiteitstheorie      | Rood- en blauwverschuiving van spectraallijnen |
| 24b         | Rood-achtige Balmerlijn               | Dopplereffect                            | Breedte van de rode Balmerlijn           |
| 24c         | Verbreding van spectraallijnen        | Intensiteitsprofiel                       | Verandering in piekhoogte bij verbrede lijn |
| 25a         | Sterrenstelsel                        | Hubble-wet                               | Omrekeningsfactor van megaparsec naar lichtjaar |
| 25b         | Sterrenstelsel                        | Hubble-wet                               | Waarde van de Hubbleconstante            |
| 25c         | Sterrenstelsel                        | Hubble-wet                               | Leeftijd van het heelal                  |
| 25d         | Sterrenstelsel                        | Hubbleconstante                          | Leeftijd van het heelal in miljarden jaren |
| 26a         | Sterrenstelsel, spectraallijn         | Dopplereffect                            | Radiale snelheid van het sterrenstelsel  |
| 26b         | Sterrenstelsel, spectraallijn         | Dopplereffect                            | Positieve en negatieve waarden van z     |
| 26c         | Andromedanevel                        | Dopplereffect                            | Snelheid van de Andromedanevel            |
| 26d         | Andromedanevel                        | Dopplereffect                            | Tijd tot Andromedanevel de aarde bereikt |
| 26e         | Quasar                                | Relativiteitstheorie                     | Snelheid van de quasar                    |
| 26f         | Quasar                                | Relativiteitstheorie                     | Verklaring van snelheid bij lage waarden |
| 27a         | Ster in Cygnus, spectraallijn         | Planck-stralingswet                       | Gebied van elektromagnetisch spectrum    |
| 27b         | Ster in Cygnus                        | Stefan-Boltzmann wet                     | Temperatuur van de ster                  |
| 27c         | Ster in Cygnus                        | Dopplereffect                            | Snelheid waarmee de ster zich verwijdert |
| 27d         | Ster in Cygnus, HR-diagram             | HR-diagram                               | Superreus in HR-diagram                  |
| 27e         | Ster in Cygnus                        | Stefan-Boltzmann wet                     | Uitgestraald vermogen en straal van de ster |
| 27f         | Superreus                             | Stabiliteit van kernen                   | Verklaring van stabiliteit                |
| 28a         | Gliese 581                            | Temperatuur-stralingswet                 | Rode dwerg                              |
| 28b         | Planeten rond de zon                  | Leefbare zone                            | Planeten in de leefbare zone rond de zon |
| 28c         | Planeten rond Gliese 581              | Leefbare zone                            | Afstand van leefbare zone tot Gliese 581 |
| 28d         | Gliese 581 C, intensiteit             | Intensiteit                              | Verhouding van ontvangen straling        |
| 28e         | Gliese 581 C                          | Temperatuur-stralingswet                 | Aanwezigheid van waterdamp of ijs         |
| 28f         | Gliese 581 C                          | Signaalreistijd                           | Jaar van ontvangst antwoordsignaal       |

* Hd13
** Hd13.txt
|  Opgave | Gegeven                            | Formules/Concepten                   | Gevraagd                      |
|--------------|------------------------------|------------------------------|-------------------------------|
| 1a           | Radio-uitzending, bergen, zendmast | Golflengte-afhankelijkheid   | Ontvangstkwaliteit korte golf vs lange/middengolf |
| 1b           | Geluid, openluchtconcert     | Geluidsgolven                 | Distinctie van lage tonen op afstand |
| 1c           | Röntgenstraling, kristallen  | Diffractie van röntgenstraling| Structuur van kristallen |
| 2a           | Spleet, licht                 | Interferentiepatroon         | Vergelijking van spleetbreedte en golflengte |
| 2b           | Licht met golflengte 589 nm, spleten | Interferentiepatroon         | Afwisselend gele en witte strepen |
| 2c           | Spleten, licht                | Interferentiepatroon         | Wijziging van afstand tussen spleten |
| 2d           | Licht van andere kleur        | Interferentiepatroon         | Wijziging in golflengte van het licht |
| 3a           | Spleet, lichtintensiteit      | Principe van Babinet          | Lichtintensiteit op scherm |
| 3b1          | Voorwerp, licht, diffractie   | Diffractieprincipe            | Voorwerp groter dan golflengte |
| 3b2          | Voorwerp, licht, diffractie   | Diffractieprincipe            | Voorwerp kleiner dan golflengte |
| 4a           | Neonlaser, tralie, scherm     | Diffractie door tralie        | Richtingen van rood licht op scherm |
| 4b           | Wit licht, tralie, spectrum   | Diffractie door tralie        | Verschil in kleuren bij centrale streep |
| 4c           | Spectrum, tralie              | Diffractie door tralie        | Kleurverdeling naast witte streep |
| 4d           | Maxima formule, tralie        | Diffractie door tralie        | Overlap van spectra bij n=2 en n=3 |
| 4e           | Tralie, lijnen per mm         | Diffractie door tralie        | Wijziging in aantal lijnen per mm |
| 5a           | Tralie, licht, spleet         | Diffractie via tralie         | Spectrum zichtbaar bij n=1 |
| 5b           | Tralie, hoek, zichtbaar licht | Diffractie via tralie         | Berekening van hoek φ |
| 6a           | Vier spleten, vlakke golf     | Interferentie en fase         | Constructieve interferentie in punt A |
| 6b           | Vier spleten, interferentie   | Interferentie en fase         | Destructieve interferentie in punt B |
| 6c           | Vier spleten, interferentie   | Interferentie en fase         | Faseverschil van 1/2 tussen golven |
| 6d           | Maxima, spleten               | Interferentie en fase         | Faseverschil bij enkel constructieve interferentie |
| 6e           | Veel spleten, interferentie   | Interferentie en fase         | Constructieve en destructieve interferentie |
| 6f           | Tralie, spleten, spectrum     | Interferentie en fase         | Voordeel van veel spleten voor spectrum |
| 7a           | Zonlicht, fotonen             | Stralingsvermogen, fotonen    | Aantal fotonen per seconde bij 550 nm |
| 7b           | Cesium, fotonen               | Uittree-energie, foto-elektrisch effect | Maximale snelheid van vrijgemaakte elektronen |
| 8a           | Koper, fotonen                 | Grensfrequentie en -golflengte| Validatie van grensfrequentie en -golflengte |
| 8b           | Grensfrequentie                | Foto-elektrisch effect        | Grensfrequentie als ondergrens |
| 8c           | Grensgolflengte                | Foto-elektrisch effect        | Grensgolflengte als bovengrens |
| 9a           | Fotocel, kalium, elektron      | Foto-elektrisch effect        | Verandering in stroomsterkte met spanning |
| 9b           | Licht, kalium, uittree-energie | Foto-elektrisch effect        | Golflengte van licht en remspanning |
| 9c           | Fotocel, kalium, intensiteit   | Foto-elektrisch effect        | Aantal vrijgemaakte elektronen per seconde |
| 9d           | Fotocel, intensiteit           | Foto-elektrisch effect        | Percentage van fotonen die elektronen vrijmaken |
| 9e           | Fotocel, kalium                | Foto-elektrisch effect        | Energie van fotonen die geen elektronen vrijmaken |
| 10a          | Dubbelspleet, laserlicht       | Golf- en deeltjeskarakter     | Interferentiepatroon van fotonen |
| 10b          | Laserlicht, dubbelspleet       | Golflengte van licht          | Verandering in interferentiepatroon bij groen licht |
| 10c          | Laserlicht, dubbelspleet       | Golflengte van licht          | Verandering in interferentiepatroon bij groen licht |
| 10d          | Wit licht, dubbelspleet        | Golf- en deeltjeskarakter     | Interferentiepatroon met wit licht |
| 11a          | Lichtbron, fotonen, dubbelspleet| Lichtintensiteit, fotonen     | Maximaal vermogen van lichtbron |
| 11b          | Lichtbron, fotonen, dubbelspleet| Lichtintensiteit, fotonen     | Duur van experiment voor 10 miljoen fotonen |
| 12a          | Dubbelspleet, detectie         | Interferentiepatroon          | Grafiek bij detectie en niet-detectie |
| 12b          | Fotonen, detectie              | Golfkarakter, amplitude       | Wijziging in amplitude of fase door detectie |
| 12c          | Grafieken, fotonen             | Interferentiepatroon          | Oppervlakte onder grafieken gelijk |
| 13a          | Persoon, zuurstofmolecuul, elektron | De Broglie golflengte       | Berekening van golflengte voor deeltjes |
| 14a          | De Broglie formule             | Bewegingsenergie, massa       | Afleiding van formule voor golflengte |
| 14b          | Elektron, proton, temperatuur  | De Broglie golflengte         | Vergelijking van golflengtes bij verschillende temperaturen |
| 15a          | Deeltjes, fotonen              | Energie-massa relatie         | Afleiding van comptongolflengte formule |
| 15b          | Elektron, comptongolflengte    | Energie-massa relatie         | Berekening van comptongolflengte voor elektron |
| 15c          | Fotonen, elektron              | Compton-effect                | Mogelijkheid van meerdere elektronen na botsing |
| 16a          | Fotonen, elektron              | Compton-effect                | Verandering van golflengte na botsing |
| 16b          | Elektron, foton, snelheid      | Compton-effect                | Berekening van snelheid van elektron |
| 16c          | Fotonen, elektron              | Compton-effect                | Berekening van golflengte van elektron |
| 17a          | Elektronen, elektronenkanon    | Elektronenenergie             | Spanning in elektronenkanon |
| 17b          | Elektronen, elektronenkanon    | De Broglie golflengte         | Berekening van golflengte van elektron |
| 17c          | Lichtmicroscoop, elektronmicroscoop | Golflengte en resolutie     | Vergelijking van resolutie met lichtmicroscoop |
| 18a          | Elektronenmicroscoop, grafiet  | De Broglie golflengte         | Afleiding van formule voor golflengte |
| 18b          | Elektronen, grafiet            | De Broglie golflengte         | Berekening van golflengte bij 5 kV spanning |
| 18c          | Elektronen, grafiet            | Braggreflectie                | Verschil in weglengte bij reflectie |
| 18d          | Grafiet, ringen                | Interferentiepatroon          | Afstanden tussen lijnen d1 of d2 |
| 18e          | Elektronen, grafiet            | Interferentiepatroon          | Geen ringen bij lage spanningen |
| 18f          | Grafiek, elektronenmicroscoop  | Interferentiepatroon          | Bepaling van roosterafstand d |
| 19       | Quantumdeeltje in energieput             | Golven in put, energieformules    | Energie en frequentie van foton         |
| 20       | Elektron in energieput, atoomkern        | Energieputformules, fotonenergie  | Energie, fotonenergie bij overgang      |
| 21       | Elektron in waterstofatoom, fotonen       | Lyman- en Balmerreeksen          | Frequenties van fotonen, energieovergangen |
| 22       | Elektron in energieput                   | Energieputformules, tunneling     | Snelheid, kans op tunnelen              |
| 23       | Maan, elektron in waterstofatoom          | Gravitatie, elektrostatica        | Snelheid, energielevels, energieabsorptie |
| 24       | Alfa-deeltje, energiebarrière             | Tunnel-effect                     | Kans op tunnelen, energiebarrière      |
| 25       | Vrij bewegend elektron, atoomkern         | Boltzmannverdeling                | Debrogliegolflengte                     |
| 26       | Elektronen in kwantumsysteem              | Energielevels                     | Fotonenenergieën, bezettingstoestand    |
| 27       | Kleurstofmolecuul, energieput              | Energieputformules                | Lengte put, energie van niveaus, kleur  |
| 28       | b-Caroteen, geconjugeerd systeem          | Energieputformules                | Golflengte, fotonfrequentie, energieverschil |
| 29       | Halfgeleiders, band gap                   | Band gap energie                  | Geleiding bij kamertemperatuur, band gap |
| 30       | Silicium, zonnecel, fotonen               | Band gap, rendement                | Golflengte foton, rendement             |
| 31       | Rb-atomen, fotonen, laserkoeling          | Dopplerverschuiving, Debrogliegolflengte | Frequentieverschil, minimum snelheid    |
| 32       | LED, halfgeleidermateriaal, spanning       | Band gap, interne conversie       | Kleur van licht, drempelspanning        |

* Hd16
** Hd16.txt
|  Opgave | Gegeven                            | Formules/Concepten                   | Gevraagd                      |
|----------------|-------------------------------------------|--------------------------------------|--------------------------------------------------------|
| 1              | Alfa-deeltjes, goudfolie, goudkernen      | Coulombkracht                         | Reden van afbuiging, afstand elektronen tot middenstip  |
| 2              | Elektron, nevelvat, magnetisch veld       | Lorentzkracht                         | Straal van elektronbaan, richting van magnetisch veld   |
| 3              | Proton, elektron, waterstofatoom          | Coulombkracht, centripetale kracht    | Elektrische kracht, snelheid elektron, gravitatiekracht |
| 4              | Elektronen, kathodestraalbuis, platen     | Lorentzkracht, elektrische kracht    | Snelheid elektronen, verhouding lading/massa            |
| 5              | Olie druppels, elektrisch veld             | Coulombkracht, elektrische veldkracht | Lading van druppel, reden variabele spanning            |
| 6              | Kernen: Plutonium-239, Thorium-231, lood-123 | Vervalwetten                          | Vervalreacties                                          |
| 7              | Uraan-235, neutron, strontium-94           | Kernsplijting                          | Vervalreactie, massadefect                              |
| 8              | Plutonium-244, calcium-48                  | Kernfusie                              | Reden van hoge snelheid, reactievergelijking            |
| 9              | Uraan-235, kerncentrale                    | Energieomzetting                       | Aantal splijtingen per seconde, verbruik verrijkt uraan |
| 10             | Zon, waterstofkernen, heliumkernen         | Kernfusie                              | Vergelijking energieproductie met wereldwijde consumptie |
| 11             | Helium-3, Boor-8, Beryllium-7              | Beta-verval                            | Vervalreacties                                          |
| 12             | Fotonen, protonen                          | Impuls, de Broglie-golf-impuls        | Frequentie van licht, snelheid van proton               |
| 13             | Positron, elektron, fotonen                | Annihilatie, energieconservatie       | Frequentie van fotonen tijdens annihilatie              |
| 14             | Biljartballen                             | Impulsbehoud, energiebehoud           | Snelheden na botsing                                    |
| 15             | Protonen, helium-4, neutrino's             | Kernfusie                              | Energie per heliumkern, aantal neutrino's per seconde   |
| 16             | Tritium, elektron, dochterkern             | Impuls, energieverhouding             | Verhouding kinetische energieën, energie vrijkomen      |
| 17             | Upquark, downquark, mesonen, baryonen | Quark-combinaties, regels voor mesonen en baryonen | Aantal mogelijke mesonen en baryonen |
| 18a            | Sigma-deeltje, quarks             | Elektrische lading van quarks    | Samenstelling van het Sigma-deeltje  |
| 18b            | Sigma-deeltje, lading van quarks  | Elektrische ladingconservatie    | Lading van het Sigma-deeltje        |
| 18c            | Sigma-deeltje, vervalprocessen    | Energie- en massa- behoud         | Energie vrijgekomen bij verval      |
| 18d            | Sigma-deeltje                     | Krachtige interacties en vervalregels | Vervalprocessen en reden voor beperking |
| 19a            | Tritiumkern, upquarks, downquarks | Massa van quarks en kernbinding   | Samenstelling van Tritiumkern      |
| 19b            | Tritiumkern, massa van quarks     | Massa-energie relatie            | Totale massa van quarks in Tritiumkern |
| 19c            | Tritiumkern, massa-energie        | Massa-energie verschil            | Verklaring van massa-energie verschil |
| 20a            | Helium-4, reacties                | Energie- en massa-behoud          | Verhouding energie/reactie         |
| 20b            | Helium-4, reacties                | Energie- en massa-behoud          | Verhouding energie/reactie         |
| 20c            | Helium-4, reacties                | Energie- en massa-behoud          | Verhouding energie/reactie         |
| 20d            | Energiecentrales, massa van afval | Thermodynamica, massa-energie      | Verschil in massa van afval        |
| 20e            | Quarks, energie                   | Energie- en massa-behoud          | Energie vereist voor quark-vrijmaking |
| 21             | Deeltjes, aantrekkende en afstotende krachten | Kracht- en interactiemodellen    | Model voor aantrekkende kracht     |
| 22a            | Elektron, positron, fotonen       | Energie- en interactiewetten      | Reactievergelijking van botsing     |
| 22b            | W-bosonen, fotonen                 | Energie- en massa- behoud         | Reactievergelijking van bosonen     |
| 22c            | W-bosonen                         | Beweging en richtingen van bosonen | Richting van W-bosonen              |
| 22d            | Elektron, positron, energie       | Energie van deeltjes               | Energie van elektron vlak voor botsing |
| 23a            | Tandemversneller, ionen            | Versnelde deeltjes, spanning      | Hoeveelheid versnelde deeltjes      |
| 23b            | Tandemversneller, energie          | Versnelde deeltjes, spanning      | Voorwaarden voor verdubbeling van energie |
| 24a            | Gallium-67, protonen, neutronen    | Kernreacties, massa-energie behoud | Reactievergelijking van reactie     |
| 24b            | Proton, energie                    | Massa-energie relatie            | Minimale energie van proton         |
| 24c            | Proton, cyclotron, spanning        | Versnelde deeltjes, spanning      | Aantal omlopen in cyclotron         |
| 24d            | Proton, magnetisch veld            | Lorentzkracht, cirkelbeweging     | Sterkte van magnetisch veld         |
| 25a            | Protonen, versnelling, energie     | Versnelling, energie- en massa-behoud | Aantal spanningsdoorlopen           |
| 25b            | Protonen, magnetisch veld          | Energie en cirkelbeweging         | Sterkte van magnetisch veld         |
| 25c            | Protonen, deuterium, positron, neutrino | Energie- en massa- behoud         | Reactievergelijking van botsing     |
| 26a            | Elektronen, versnelling, energie   | Elektrische velden, snelheid      | Versnelspanning                     |
| 26b            | Spanningsbron                      | Wisselstroom of gelijkstroom      | Type spanningsbron                  |
| 26c            | Magnetische velden, elektronen     | Magnetische velden en richting    | Richting van magnetische velden     |
| 26d            | Electron, fotonen, energie         | Energie- en massa-behoud          | Minimale energie voor boson        |
| 27a            | Protonen, bunches, botsingen       | Kansberekening, botsingen         | Kans op botsing                     |
| 27b            | Protonen, botsingen                | Kansberekening, botsingen         | Aantal botsingen per ontmoetingen   |
| 27c            | Bunches, botsingen, snelheid       | Tijdsduur, botsingen per seconde  | Hoeveelheid botsingen per seconde   |
| 27d            | Data van LHC, opslagcapaciteit     | Data-generatie, opslagtijd         | Tijd voor data-generatie            |
