#+TITLE: NATUURKUNDE HAVO: VEELGESTELDE VRAGEN 2024-2025
#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil

* Hd1
** Hd1.txt
|#| Vraag                                                                                                   | Antwoord                   |
| 10 |  Waarom is de arbeid door luchtweerstand altijd negatief? | De luchtweerstand werkt tegen de richting van de verplaatsing, waardoor de arbeid negatief is. |
| 11 |  Hoe bereken je de arbeid verricht door een trekkracht als een object wordt getrokken met een constante snelheid? | De arbeid wordt berekend door de kracht te vermenigvuldigen met de afstand en de cosinus van de hoek tussen de kracht en verplaatsing: \( W = F \cdot d \cdot \cos(\theta) \). |
| 12 |  Wat is het effect van een constante snelheid op de arbeid verricht door de resulterende kracht? | Bij constante snelheid is de arbeid door de resulterende kracht nul omdat de versnelling nul is. |
| 13 |  Hoe bereken je de kinetische energie van een object? | De kinetische energie wordt berekend met \( E_k = \frac{1}{2} m v^2 \), waarbij \( m \) de massa en \( v \) de snelheid is. |
| 14 |  Wat gebeurt er met de arbeid als de snelheid van een voertuig toeneemt? | Als de snelheid toeneemt, verricht de kracht positieve arbeid op het voertuig, wat resulteert in een toename van de kinetische energie. |
| 15 | Wat is de wet van arbeid en kinetische energie?                       | De som van de arbeid van alle krachten is gelijk aan de verandering in kinetische energie. |
| 16 | Hoe bereken je de kinetische energie van een object?                   | Kinetische energie = ½ massa × snelheid².                        |
| 17 | Wat gebeurt er met de kinetische energie als een voorwerp versnelt?   | De kinetische energie neemt toe.                                 |
| 18 | Wat is de relatie tussen arbeid en verandering in kinetische energie? | Arbeid = verandering in kinetische energie.                      |
| 19 | Hoe bereken je de verplaatsing bij een constante kracht?               | Verplaatsing = Arbeid / Kracht.                                  |
| 20 | Wat is het vermogen van een apparaat?                                 | Vermogen = Energie / Tijd.                                      |
| 21 | Wat gebeurt er met het vermogen als een auto op topsnelheid rijdt?    | Het vermogen is gelijk aan de arbeid verricht door de motorkracht in een bepaalde tijd. |
| 22 | Hoe bereken je de luchtweerstandskracht op een auto?                   | Luchtweerstandskracht = Vermogen / Snelheid.                     |
| 23 | Hoe wordt de arbeid van een kracht die een object omhoog trekt, berekend? | Arbeid = Kracht × Hoogteverschil.                                |
| 24 | Wat is de formule voor zwaarte-energie?                                | Zwaarte-energie = massa × zwaartekracht × hoogteverschil.        |
| 25 | Hoe bereken je de gemiddelde kracht tijdens het vangen van een bal?   | Gemiddelde kracht = Verandering in kinetische energie / Verplaatsing. |
| 26 | Wat gebeurt er met de kracht op een object als de remafstand tien keer groter is? | De kracht neemt af, omdat de arbeid over een grotere afstand verdeeld is. |
| 27 | Hoe bereken je de gemiddelde versnelling van een vogel die valt?      | Versnelling = (eind snelheid - begin snelheid) / Tijd.            |
| 28 | Hoe bereken je de snelheid van een object als de zwaartekracht werkt?  | Snelheid = √(2 × versnelling × hoogteverschil).                  |
| 29 | Waarom neemt de snelheid van een object niet altijd toe bij het verrichten van arbeid? | Arbeid kan worden omgezet in andere energieën zoals warmte.       |
| 30 | Wat is de invloed van wrijving op kinetische energie?                 | Wrijving verricht negatieve arbeid, waardoor kinetische energie afneemt. |
| 31 | Hoe bereken je de warmte geproduceerd door wrijving?                  | Warmte = Wrijvingkracht × Afstand.                                |
| 32 | Wat gebeurt er met elektrische energie in een boormachine?                                                                                                                         | Elektrische energie wordt omgezet in kinetische energie van de boor en in warmte.                                                                                                     |
| 33 | Hoe kun je het elektrisch vermogen van een boormachine vinden?                                                                                                                     | Het vermogen staat in de specificaties van de boormachine.                                                                                                                             |
| 34 | Hoe bereken je de elektrische energie als je het vermogen en de tijd weet?                                                                                                        | Elektrische energie is gelijk aan het vermogen vermenigvuldigd met de tijd.                                                                                                           |
| 35 | Wat is de eenheid van elektrische energie?                                                                                                                                          | Joule (J) of kilowattuur (kWh).                                                                                                                                                           |
| 36 | Hoe bereken je het elektrisch vermogen als je de spanning en stroomsterkte weet?                                                                                                  | Het elektrisch vermogen is de spanning vermenigvuldigd met de stroomsterkte.                                                                                                           |
| 37 | Wat is de eenheid van stralingsenergie op een oppervlakte van 1 vierkante meter?                                                                                                   | Watt per vierkante meter (W/m²).                                                                                                                                                       |
| 38 | Wat is het piekvermogen van zonnepanelen?                                                                                                                                           | Het maximale vermogen dat een zonnepaneel levert bij volle zon en loodrechte inval.                                                                                                    |
| 39 | Hoe bereken je de energieopbrengst van een zonnepaneel per jaar?                                                                                                                   | Vermenigvuldig het piekvermogen met het aantal uren zonlicht per jaar.                                                                                                                |
| 40 | Wat is de relatie tussen zwaarte-energie en kinetische energie als iemand een helling afgaat zonder te trappen?                                                                     | Zwaarte-energie neemt af en kinetische energie neemt toe; er ontstaat warmte door weerstandskrachten.                                                                                 |
| 41 | Wat gebeurt er met energie als een auto een constante snelheid aanhoudt en tegen een weerstandskracht inrijdt?                                                                     | De chemische energie uit benzine wordt omgezet in arbeid en warmte.                                                                                                                    |
| 42 | Hoe bereken je het rendement van een motor?                                                                                                                                         | Het rendement is het percentage van de chemische energie dat wordt omgezet in nuttige arbeid.                                                                                         |
| 43 | Wat gebeurt er met energie in een goed geïsoleerd huis als er warmteverliezen zijn?                                                                                                 | Er is een energieverbruik nodig om de warmteverliezen te compenseren.                                                                                                                  |
| 44 | Hoe bereken je de benodigde hoeveelheid aardgas voor verwarming?                                                                                                                     | Deel de totale warmteverliezen door het rendement van de ketel en vermenigvuldig dit met de stookwaarde van aardgas.                                                                    |
| 45 | Wat gebeurt er met de snelheid en kinetische energie van een object dat van een helling afrolt?                                                                                      | De snelheid en kinetische energie nemen toe terwijl de zwaarte-energie afneemt.                                                                                                        |
| 46 | Hoe kun je de hoogte van een helling berekenen als je de kinetische energie en massa van een object kent?                                                                           | Gebruik de verhouding tussen de kinetische energie en de zwaarte-energie om de hoogte te berekenen.                                                                                   |
| 47 | Wat is de wet van behoud van energie?                                                                                                                                               | De som van de energie in een gesloten systeem blijft constant, waarbij energie kan worden omgezet van de ene vorm naar de andere.                                                      |
| 48 | Hoe bereken je de snelheid van een object dat valt zonder luchtweerstand?                                                                                                          | Gebruik de wet van behoud van energie waarbij de beginzwaarte-energie gelijk is aan de kinetische energie aan het eindpunt.                                                             |
| 49 |  Wat moet je toevoegen aan de energievergelijking als je luchtweerstand niet mag verwaarlozen? | Je moet de term \( Q \) toevoegen, wat de warmte aangeeft die door luchtweerstand wordt geproduceerd. |
| 50 |  Hoe bereken je de maximale hoogte van een steentje als luchtweerstand wordt verwaarloosd? | Gebruik de energievergelijking waarbij de begin kinetische energie gelijk is aan de zwaarte-energie op de maximale hoogte. |
| 51 |  Waarom is de maximale hoogte van een steentje kleiner als je luchtweerstand niet verwaarloost? | Omdat luchtweerstand energie uit het systeem onttrekt in de vorm van warmte, waardoor er minder energie beschikbaar is voor het verhogen van de hoogte. |
| 52 |  Wat is de som van de tegenwerkende krachten als een auto afremt van 90 km/h naar 10 km/h over een afstand van 100 m? | Gebruik de formule \( F_{\text{tegen}} = \frac{1}{2} m (v^2 - v_0^2) / d \), waarbij \( m \) de massa van de auto is, \( v_0 \) de begin snelheid en \( v \) de eind snelheid. |
| 53 |  Hoe bereken je de maximale hoogte van een waterraket die onder een bepaalde hoek wordt gelanceerd? | Gebruik de formule voor de verticale component van de snelheid en het hoogteverschil met behulp van de kinetische energie om de maximale hoogte te vinden. |
| 54 |  Waarom kan Loes met sprongetje in figuur 2b hoger springen dan met het sprongetje in figuur 2a? | Dit komt omdat bij het sprongetje in figuur 2b meer energie wordt omgezet in verticale snelheid door een betere afzetkracht of techniek. |
| 55 |  Hoe bereken je de hoogte van de polsstokhoogspringer op het moment dat hij over de lat gaat? | Gebruik de energieconversie waarbij de kinetische energie vlak voor de afzet gelijk is aan de zwaarte-energie op het hoogste punt. |
| 56 |  Hoe bereken je de snelheid waarmee een keitje het water raakt? | Gebruik de energiebalans tussen de kinetische energie bij de afgooiing en de kinetische energie bij het raken van het water. |
| 57 |  Hoeveel energie verliest een keitje bij de eerste botsing met het water? | Dit kan worden berekend door het verschil in kinetische energie voor en na de botsing te bepalen. |
| 58 |  Hoe bereken je de hoeveelheid energie die nodig is om een achtbaantrein naar de top van een helling te trekken? | Gebruik de formule voor zwaarte-energie \( E = mgh \), waarbij \( m \) de massa van de trein is, \( g \) de versnelling door de zwaartekracht, en \( h \) het hoogteverschil. |
| 59 |  Hoeveel elektrische energie is nodig om een achtbaantrein omhoog te trekken met een constante snelheid? | Bereken het benodigde vermogen door de energiebehoefte en de tijd om de trein omhoog te trekken in overweging te nemen. |
| 60 |  Hoe bereken je de rendement van de bewegingsenergie van water dat wordt omgezet in elektrische energie? | Gebruik de formule voor rendement: \( \text{Rendement} = \frac{\text{Uitgangsvermogen}}{\text{Ingangsvermogen}} \times 100\% \). |
| 61 |  Waarom zou een valmeercentrale nuttig kunnen zijn ondanks de kosten? | Een valmeercentrale kan nuttig zijn voor energieopslag en het leveren van energie op momenten dat er geen wind is, wat bijdraagt aan een stabiele energievoorziening. |
| 62 |  Hoe bereken je de afstand die een parkiet aflegt bij een bepaalde snelheid en energieverbruik? | Gebruik de formule voor vermogen en energie: \( P = \frac{E}{t} \), waarbij \( P \) het vermogen is en \( E \) de totale verbruikte energie. |
| 63 |  Waarom moeten vogels meer vermogen leveren bij hogere snelheden vergeleken met lopende dieren? | Dit komt door de luchtweerstand die toeneemt met de snelheid, wat een extra kracht vereist om de weerstand te overwinnen. |
| 64 |  Wanneer verricht een kracht arbeid en is deze arbeid positief of negatief? | Arbeid wordt verricht wanneer een kracht een object verplaatst. De arbeid is positief als de kracht en de verplaatsing in dezelfde richting liggen en negatief als ze in tegenovergestelde richtingen liggen. |
| 65 |  Hoe hangt de door zwaartekracht verrichte arbeid af van het hoogteverschil? | De arbeid door zwaartekracht hangt af van het hoogteverschil tussen het begin- en eindpunt; hoe groter het hoogteverschil, hoe meer arbeid er wordt verricht. |
| 66 |  Hoe hangt de door wrijvingskracht verrichte arbeid af van de afgelegde weg? | De arbeid door wrijvingskracht is afhankelijk van de afstand die het object aflegt; hoe groter de afstand, hoe meer arbeid er door de wrijvingskracht wordt verricht. |
| 67 |  Wat is kinetische energie? | Kinetische energie is de energie die een voorwerp heeft door zijn beweging, en hangt af van de massa en de snelheid van het voorwerp. |
| 68 |  Wat zegt de wet van arbeid en kinetische energie? | De wet van arbeid en kinetische energie stelt dat de arbeid verricht door alle krachten op een object gelijk is aan de verandering in de kinetische energie van dat object. |
| 69 |  Hoe verandert de kinetische energie van een voorwerp door de arbeid van een kracht? | De kinetische energie verandert gelijk aan de arbeid die door de kracht op het voorwerp wordt verricht. Als de kracht arbeid levert, neemt de kinetische energie toe; als de kracht negatieve arbeid levert, neemt de kinetische energie af. |
| 70 |  Wat is vermogen? | Vermogen is de snelheid waarmee energie wordt omgezet of arbeid wordt verricht, en wordt gemeten in watt (W). |
| 71 |  Hoe hangt de zwaarte-energie van een voorwerp af van het gekozen nulpunt? | De zwaarte-energie hangt af van het gekozen nulpunt omdat de hoogte ten opzichte van dit nulpunt bepaalt hoeveel zwaarte-energie het voorwerp heeft. |
| 72 |  Waarom is de nuttige energie die wordt gebruikt om arbeid te verrichten kleiner dan de vrijkomende energie bij verbranding? | Dit komt omdat een deel van de energie verloren gaat als warmte en niet beschikbaar is voor nuttige arbeid tijdens de verbranding van brandstoffen of voedingsstoffen. |
| 73 |  Wat zegt de wet van behoud van energie? | De wet van behoud van energie stelt dat energie niet verloren gaat, maar van de ene vorm in de andere wordt omgezet; de totale hoeveelheid energie blijft constant. |
| 74 |  Hoe komt de wet van arbeid en kinetische energie overeen met de wet van behoud van energie? | De wet van arbeid en kinetische energie is een specifieke toepassing van de wet van behoud van energie waarbij de verandering in kinetische energie wordt verklaard door de verrichte arbeid. |

* Hd9
** Hd9.txt
|   # | Vraag                                                                                                                                | Antwoord                                                                                                                                                                                                                    |
|-----+--------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|   1 | Welke vormen van energie veranderen door de arbeid die krachten verrichten?                                                          | Door arbeid kunnen verschillende vormen van energie veranderen, zoals kinetische energie, potentiële energie (zwaarte-energie), en in sommige gevallen ook chemische energie.                                               |
|   2 | Hoe hangt de zwaarte-energie van een voorwerp af van het gekozen nulpunt?                                                            | De zwaarte-energie hangt af van het gekozen nulpunt omdat de hoogte van het voorwerp ten opzichte van dit nulpunt de hoeveelheid zwaarte-energie bepaalt.                                                                   |
|   3 | Waarom is de nuttige energie die wordt gebruikt om arbeid te verrichten kleiner dan de vrijkomende energie bij verbranding?          | Dit komt doordat een deel van de energie verloren gaat als warmte bij verbranding, en niet alle energie kan nuttig worden gebruikt voor arbeid.                                                                             |
|   4 | Wat is de wet van behoud van energie?                                                                                                | De wet van behoud van energie stelt dat energie niet verloren gaat, maar alleen van de ene vorm in de andere kan worden omgezet. De totale hoeveelheid energie blijft constant.                                             |
|   5 | Welke vormen van energie worden vaak omgezet bij een muziekoptreden met een gitaar?                                                  | Bij een muziekoptreden met een gitaar wordt de energie omgezet van mechanische energie (trillingen van de snaren) naar akoestische energie (geluidsgolven) via een versterker en luidsprekers.                              |
|   6 | Wat is een periodieke beweging? Geef een voorbeeld.                                                                                  | Een periodieke beweging is een beweging die zich regelmatig herhaalt na een bepaalde tijd. Voorbeeld: de beweging van een schommel heen en weer.                                                                            |
|   7 | Wat is een trilling en hoe verschilt het van een periodieke beweging?                                                                | Een trilling is een periodieke beweging om een vaste evenwichtsstand. Het verschil met een algemene periodieke beweging is dat een trilling altijd om een evenwichtsstand beweegt.                                          |
|   8 | Wat is de amplitude van een trilling?                                                                                                | De amplitude van een trilling is de maximale uitwijking van het voorwerp ten opzichte van de evenwichtsstand.                                                                                                               |
|   9 | Hoe bepaal je de trillingstijd en frequentie uit een uitwijking-tijd diagram?                                                        | De trillingstijd (periode) is de tijd die nodig is voor één volledige cyclus, en kan worden afgeleid door de tijd tussen twee gelijke punten op het diagram te meten. De frequentie is het omgekeerde van de trillingstijd. |
|  10 | Wat is het verschil tussen een hartfilmpje (cardiogram) en een oscillogram?                                                          | Een hartfilmpje toont elektrische activiteit van het hart, terwijl een oscillogram de elektrische signalen van andere trillingen, zoals geluid, weergeeft.                                                                  |
|  11 | Hoe kun je de frequentie van een trilling bepalen met een oscilloscoop?                                                              | De frequentie kan worden bepaald door de tijd te meten die de stip op de oscilloscoop nodig heeft om één volledige cyclus te maken, en dit om te rekenen naar een frequentie.                                               |
|  12 | Hoe beïnvloedt de massa en de veerconstante de trillingstijd van een massaveersysteem?                                               | De trillingstijd neemt toe als de massa toeneemt en af als de veerconstante toeneemt. De trillingstijd is recht evenredig met de wortel van de massa en omgekeerd evenredig met de vierkantswortel van de veerconstante.    |
|  13 | Wat is de veerconstante van een veer in Newton per meter (Nm)?                                                                       | De veerconstante van de veer is gegeven in Nm.                                                                                                                                                                              |
|  14 | Hoe bereken je de trillingstijd van een blokje aan een veer?                                                                         | De trillingstijd wordt berekend met de formule T = 2π√(m/k), waarbij m de massa en k de veerconstante is.                                                                                                                   |
|  15 | Wat gebeurt er met de amplitude van een trilling als de aandrijffrequentie gelijk is aan de eigenfrequentie van het systeem?         | De amplitude neemt sterk toe.                                                                                                                                                                                               |
|  16 | Wat is resonantie?                                                                                                                   | Resonantie is het fenomeen waarbij de amplitude van een trilling sterk toeneemt omdat de aandrijffrequentie gelijk is aan de eigenfrequentie van het systeem.                                                               |
|  17 | Waarom wordt een stemvork luider als je deze op een tafelblad plaatst?                                                               | De tafelblad brengt meer lucht in trilling, waardoor het geluid luider wordt.                                                                                                                                               |
|  18 | Wat gebeurt er met de frequentie van een stemvork als je een massa aan de benen vastmaakt?                                           | De frequentie wordt lager.                                                                                                                                                                                                  |
|  19 | Wat is de veerconstante als de uitrekking van een veer 0,10 m is en de kracht 10 N?                                                  | De veerconstante k = F / u = 10 N / 0,10 m = 100 N/m.                                                                                                                                                                       |
|  20 | Wat beïnvloedt de tijdsduur voor tien trillingen bij een veer?                                                                       | De tijdsduur hangt af van de massa en de veerconstante.                                                                                                                                                                     |
|  21 | Waarom schudt een auto heviger bij een snelheid van 60 km/h op een hobbelige weg?                                                    | De frequentie van de hobbels komt dichterbij de eigenfrequentie van de vering van de auto, wat leidt tot resonantie.                                                                                                        |
|  22 | Hoe bereken je de veerconstante van een auto als de massa en de snelheid bekend zijn?                                                | De veerconstante kan worden berekend door de frequentie van de trilling van de auto te koppelen aan de massa en snelheid.                                                                                                   |
|  23 | Waarom verandert de snelheid waarbij de auto hevig schudt als de massa verandert?                                                    | De eigenfrequentie van de vering verandert met de massa, waardoor de snelheid waarbij resonantie optreedt ook verandert.                                                                                                    |
|  24 | Hoe bepaal je of een trilling een harmonische trilling is aan de hand van een figuur?                                                | Een harmonische trilling is te herkennen aan een sinusvormige grafiek van de amplitude tegen de tijd.                                                                                                                       |
|  25 | Wat is het verschil tussen een transversale en een longitudinale golf?                                                               | Bij een transversale golf bewegen de deeltjes loodrecht op de voortplantingsrichting van de golf, terwijl bij een longitudinale golf de deeltjes bewegen in de richting van de voortplanting.                               |
|  26 | Hoe wordt de voortplantingssnelheid van een golf berekend?                                                                           | De voortplantingssnelheid v = λ / T, waarbij λ de golflengte en T de trillingstijd is.                                                                                                                                      |
|  27 | Wat is een voorbeeld van een longitudinale golf?                                                                                     | Een veer die heen en weer beweegt, waarbij de verdichtingen en verdunningen zich voortplanten.                                                                                                                              |
|  28 | Wat is de amplitude van een golf?                                                                                                    | De amplitude is de maximale uitwijking van een deeltje van zijn evenwichtsstand.                                                                                                                                            |
|  29 | Wat is de gemiddelde snelheid van punt A van het ene uiterste punt naar het andere tijdens een halve trillingstijd?                  | De gemiddelde snelheid van punt A is 0,5 cm/s.                                                                                                                                                                              |
|  30 | Wat is het type golf als een wave door een stadion beweegt, een transversale of longitudinale golf?                                  | Het is een transversale golf.                                                                                                                                                                                               |
|  31 | Hoe bereken je de frequentie van een wave waarbij de mensen in het stadion juichen en opstaan?                                       | De frequentie is 1 / tijdsverschil tussen Astrid en Maikel.                                                                                                                                                                 |
|  32 | Wat is de golfsnelheid van de wave in het stadion als de frequentie 0,1 Hz en de golflengte 2 meter is?                              | De golfsnelheid is 0,2 m/s.                                                                                                                                                                                                 |
|  33 | Hoe bereken je de golflengte van de wave in het stadion?                                                                             | De golflengte is gelijk aan de golfsnelheid gedeeld door de frequentie.                                                                                                                                                     |
|  34 | Hoeveel tijdsverschil is er tussen de aankomst van longitudinale en transversale golven bij een aardbeving als de afstand 100 km is? | Het tijdsverschil is 10 s.                                                                                                                                                                                                  |
|  35 | Hoeveel meetstations zijn nodig om de plaats van een aardbeving nauwkeurig vast te stellen?                                          | Minimaal drie meetstations zijn nodig.                                                                                                                                                                                      |
|  36 | Wat gebeurt er met de amplitude van een tsunami naarmate de waterdiepte afneemt?                                                     | De amplitude neemt toe.                                                                                                                                                                                                     |
|  37 | Hoe bereken je de amplitude van een tsunami bij een andere waterdiepte als je de amplitude bij een andere diepte kent?               | Gebruik de verhouding van de waterdiepten om de nieuwe amplitude te berekenen.                                                                                                                                              |
|  38 | Wat veroorzaakt de verdunning en verdichting bij een luidspreker?                                                                    | De beweging van de conus van de luidspreker veroorzaakt verdichting en verdunning.                                                                                                                                          |
|  39 | Wat is het effect van een hogere temperatuur op de geluidssnelheid en de golflengte?                                                 | De geluidssnelheid neemt toe en de golflengte wordt groter.                                                                                                                                                                 |
|  40 | Wat is de frequentie van geluidsgolven die jonge mensen met een goed gehoor kunnen waarnemen?                                        | Frequenties tussen 20 Hz en 20 kHz.                                                                                                                                                                                         |
|  41 | Hoe wordt echo veroorzaakt?                                                                                                          | Echo wordt veroorzaakt door de weerkaatsing van geluidsgolven op een hard en glad oppervlak.                                                                                                                                |
|  42 | Wat is een technische toepassing van echo?                                                                                           | Sonar (Sound Navigation and Ranging).                                                                                                                                                                                       |
|  43 | Wat is het verband tussen golflengte, frequentie en voortplantingssnelheid van geluid?                                               | De voortplantingssnelheid is gelijk aan de golflengte vermenigvuldigd met de frequentie.                                                                                                                                    |
|  44 | Wat gebeurt er bij sonar?                                                                                                            | Een apparaat zendt een kort geluid uit en registreert de tijd totdat de echo terugkomt om afstanden en voorwerpen te bepalen.                                                                                               |
|  45 | Waarom is er meestal galm in een huis en geen echo?                                                                                  | Omdat de afstand tot reflecterende muren in een huis meestal kleiner is dan de afstand die nodig is voor echo.                                                                                                              |
|  46 | Hoe kun je galm in een huis verminderen?                                                                                             | Door zachte oppervlakken zoals kussens, kleden en gordijnen toe te voegen, of door het huis in te richten om geluid te verstrooien.                                                                                         |
|  47 | Wat is het frequentiebereik van korte golf?                                                                                          | Korte golven hebben frequenties tussen 3 MHz en 30 MHz.                                                                                                                                                                     |
|  48 | Noem een communicatiemiddel dat de functie van de Wereldomroep heeft vervangen.                                                      | Het internet of satelliettelevisie.                                                                                                                                                                                         |
|  49 | Waarom schakelen dolfijnen over op hogere frequenties als ze dichterbij een voorwerp komen?                                          | Omdat hogere frequenties betere resolutie geven bij het waarnemen van voorwerpen op korte afstand.                                                                                                                          |
|  50 | Wat is de reden dat de ultrasone plaatssensor niet goed werkt voor afstanden kleiner dan een decimeter?                              | De tijdsduur van een puls is te lang om nauwkeurig korte afstanden te meten.                                                                                                                                                |
|  51 | Waarom moet het aantal pulsen per seconde aangepast worden voor grote afstanden?                                                     | Om te zorgen voor een nauwkeurige meting; bij grotere afstanden is een lagere pulsfrequentie nodig om de echo goed te registreren.                                                                                          |
|  52 | Hoe komt het dat je de flits van onweer eerder ziet dan de donder hoort?                                                             | Licht reist sneller dan geluid, waardoor je de flits eerst ziet en daarna de donder hoort.                                                                                                                                  |
|  53 | Waarom verschuift het bovenste oscillogram als je de afstand tussen de luidspreker en microfoon vergroot?                            | Omdat de echo meer tijd nodig heeft om bij de microfoon te komen, waardoor de tijd tussen het oorspronkelijke signaal en de echo toeneemt.                                                                                  |
|  54 | Wat gebeurt er met de frequentie van een toon als de luchttemperatuur stijgt?                                                        | De frequentie van de toon wordt hoger, omdat de geluidssnelheid toeneemt bij hogere temperatuur.                                                                                                                            |
|  55 | Hoe bereken je de frequentie van een toon uit een oscillogram?                                                                       | Door het aantal oscillaties per seconde te tellen op basis van het aantal tijdsdivisies op de oscilloscoop.                                                                                                                 |
|  56 | Waarom ziet de staande golf er anders uit bij hogere frequenties in een snaar?                                                       | Omdat bij hogere frequenties er meer knopen en buiken ontstaan, wat resulteert in een kortere golflengte.                                                                                                                   |
|  57 | Wat is de golflengte van de eerste boventoon in een snaar?                                                                           | De golflengte van de eerste boventoon is de helft van de golflengte van de grondtoon.                                                                                                                                       |
|  58 | Hoe beïnvloedt de lengte van de snaar de toonhoogte?                                                                                 | De lengte van de snaar bepaalt de golflengte; een kortere snaar produceert een hogere toon.                                                                                                                                 |
|  59 | Wat is een staande golf?                                                                                                             | Een golfpatroon dat ontstaat door de interferentie van twee tegengestelde golven, met knopen en buiken die op vaste posities staan.                                                                                         |
|  60 | Wat is de grondtoon in een muziekinstrument?                                                                                         | De grondtoon is de laagste frequentiegeluid die wordt geproduceerd door het instrument.                                                                                                                                     |
|  61 | Hoe ontstaat geluid bij een blaasinstrument?                                                                                         | Door luchttrillingen in het instrument ontstaan golven met verschillende frequenties.                                                                                                                                       |
|  62 | Wat gebeurt er bij een knoop in een blaasinstrument?                                                                                 | Bij een knoop staat de lucht stil.                                                                                                                                                                                          |
|  63 | Wat gebeurt er bij een buik in een blaasinstrument?                                                                                  | Bij een buik trilt de lucht heftig heen en weer, en is de amplitude maximaal.                                                                                                                                               |
|  64 | Wat is het effect van een open uiteinde bij een blaasinstrument?                                                                     | De lucht oefent kracht uit op de buitenlucht, waardoor een buik ontstaat.                                                                                                                                                   |
|  65 | Wat gebeurt er bij een gesloten uiteinde van een blaasinstrument?                                                                    | De lucht kan niet trillen, er bevindt zich een knoop.                                                                                                                                                                       |
|  66 | Hoe verandert het aantal knopen en buiken bij hogere tonen?                                                                          | Voor elke boventoon komt er een extra buik en knoop bij, oftewel een halve golflengte.                                                                                                                                      |
|  67 | Wat is het verschil in patroon van knopen en buiken tussen een snaarinstrument en een blaasinstrument?                               | Bij snaarinstrumenten komen knopen en buiken in een ander patroon voor dan bij blaasinstrumenten.                                                                                                                           |
|  68 | Wat bepaalt de frequentie van de boventonen bij een blaasinstrument met twee open uiteinden?                                         | De frequentie van de boventonen is een geheel getal veelvoud van de grondtoon.                                                                                                                                              |
|  69 | Hoe wordt de toonhoogte bij een blokfluit beïnvloed door de lengte van de buis?                                                      | Een kortere buis verhoogt de toonhoogte, een langere buis verlaagt de toonhoogte.                                                                                                                                           |
|  70 | Wat is het effect van het openen van gaten in een blokfluit op de toon?                                                              | Het openen van gaten verkort de buis, wat de toonhoogte verhoogt.                                                                                                                                                           |
|  71 | Hoe werkt een trombone om de toonhoogte te veranderen?                                                                               | Door de buis in of uit te schuiven wordt de lengte van de buis veranderd.                                                                                                                                                   |
|  72 | Hoe verandert de toonhoogte bij een trompet door het gebruik van ventielen?                                                          | Het indrukken van ventielen verlengt de buis en verlaagt de toonhoogte.                                                                                                                                                     |
|  73 | Wat is het effect van de temperatuur op de snelheid van geluid in lucht?                                                             | De snelheid van geluid is afhankelijk van de temperatuur; warmer betekent hogere snelheid.                                                                                                                                  |
|  74 | Hoe wordt de frequentie van een toon berekend als de temperatuur en lengte van een orgelpijp bekend zijn?                            | De frequentie kan worden berekend door de golflengte te bepalen met de snelheid van geluid en de lengte van de pijp.                                                                                                        |
|  75 | Wat gebeurt er met de frequentie van een toon als een orgelpijp aan één kant gesloten is?                                            | De frequentie verandert omdat de golflengte van de grondtoon afhankelijk is van de lengte en het type van de uiteinden.                                                                                                     |
|  76 | Hoe worden geluidsgolven in een buis met twee open uiteinden gevormd?                                                                | Aan beide uiteinden bevinden zich buiken, en de afstand tussen buiken is gelijk aan de golflengte.                                                                                                                          |
|  77 | Wat gebeurt er met de golflengte bij de eerste boventoon in een buis met twee open uiteinden?                                        | De golflengte is de helft van die bij de grondtoon.                                                                                                                                                                         |
