#+STARTUP: hidestars
#+OPTIONS: ^:nil
# #+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-readtheorg.setup
#+SETUPFILE: https://fniessen.github.io/org-html-themes/org/theme-bigblow.setup
# #+HTML_HEAD: <link rel="stylesheet" href="https://sandyuraz.com/styles/org.min.css">
#+OPTIONS: num:nil
#+options: num:nil


| Term                        | Definitie                                                                                                   |
| Sterren classificeren         | Het proces van het categoriseren van sterren op basis van hun spectraalkenmerken, temperatuur, grootte, en andere eigenschappen. |
| Sterrenstelsels                   | Grote systemen van sterren, gas en stof, gebonden door zwaartekracht.                                            |
| Stilstaande en bewegende waarnemer | Het concept van waarnemers die relatieve beweging ervaren ten opzichte van elkaar.                                |
| Stopcontact                   | Een elektrische aansluiting waarin stekkers worden gestoken om elektrische apparaten op een stroombron aan te sluiten. |
| Stopcontact                             | Een elektrisch apparaat waarmee elektrische apparaten op een elektrisch circuit kunnen worden aangesloten.               |
| Straling van sterren           | Elektromagnetische energie die wordt uitgezonden door sterren, variërend van radiofrequenties tot gammastraling.    |
| Stralingsbronnen              | Materialen of apparaten die ioniserende straling produceren, zoals röntgenbuizen of radioactieve isotopen.             |
| Stralingsbronnen              | Bronnen die radioactieve materialen bevatten en straling produceren.                                         |
| Stralingsdosis                | De hoeveelheid energie die door straling aan een object wordt overgedragen, meestal gemeten in gray (Gy) of rad.      |
| Stralingsdosis                | De hoeveelheid energie die door straling aan een materiaal wordt overgedragen.                               |
| Stralingsnormen               | Richtlijnen en voorschriften die zijn vastgesteld om de blootstelling aan ioniserende straling te beperken en de volksgezondheid te beschermen. |
| Stralingsnormen               | Wettelijke limieten die de maximale blootstelling aan ioniserende straling reguleren.                        |
| Stroboscoop                 | Een apparaat dat periodiek flitslicht produceert om bewegende objecten te bevriezen en hun positie te bepalen.     |
| Stroboscopische foto                | Een foto gemaakt met een stroboscoop, waarmee snel bewegende objecten kunnen worden vastgelegd en geanalyseerd. |
| Strooistraling                | Straling die wordt verstrooid wanneer het door een medium gaat, wat kan leiden tot verspreiding van de straling buiten het beoogde gebied. |
| Stroom                        | De beweging van materie, zoals elektronen, door een bepaald gebied.                                               |
| Stroom                                  | De beweging van elektrische lading, meestal in de vorm van elektronen, door een geleidend materiaal.                    |
| Stroomkring                             | Een gesloten pad waarlangs elektrische stroom kan vloeien, bestaande uit een bron van elektrische energie, geleidende draden en elektrische componenten. |
| Stroomsterkte                           | De mate van elektrische stroom, uitgedrukt in ampère (A), die door een bepaald punt in een stroomkring vloeit.          |
| Stroomwet van Kirchhoff        | Een natuurwet die stelt dat de som van de stromen die een knooppunt binnenkomen gelijk is aan de som van de stromen die het knooppunt verlaten. |
| Stuursysteem                  | Een systeem dat verantwoordelijk is voor het aansturen en controleren van andere systemen of processen.          |
| Subatomaire deeltjes                | Deeltjes die kleiner zijn dan atomen, waaronder quarks, leptonen en bosonen.                                         |
| Telescopen                         | Instrumenten waarmee verre objecten in de ruimte kunnen worden waargenomen.                                      |
| Temperatuur                | Een maat voor de gemiddelde kinetische energie van de deeltjes in een systeem.                               |
| Temperatuur             | Een maat voor de gemiddelde kinetische energie van de deeltjes in een systeem.                                        |
| Temperatuurschaal          | Een schaal die wordt gebruikt om temperaturen te meten en te vergelijken, zoals de Celsius- of Kelvin-schaal. |
| Temperatuurschaal       | Een schaalverdeling die wordt gebruikt om temperaturen te meten en uit te drukken, zoals Celsius of Kelvin.           |
| Temperatuursensor             | Een sensor die gebruikt wordt om de temperatuur te meten.                                                         |
| Term                          | Definitie                                                                                                    |
| Thermische geleidbaarheid  | De mate waarin een materiaal warmte kan geleiden, gemeten in watts per meter per graad Celsius.              |
| Thermische geleidbaarheid | Een maat voor het vermogen van een materiaal om warmte te geleiden.                                                   |
| Thermostaat                   | Een apparaat dat wordt gebruikt om de temperatuur te regelen door elektrische stroom aan of uit te schakelen bij bepaalde temperatuurniveaus. |
| Tientallig stelsel            | Het getallenstelsel gebaseerd op het tientallig systeem, dat gebruikmaakt van tien cijfers (0 t/m 9).            |
| Tijd-plaats diagram          | Een grafische voorstelling waarbij de plaats van een object wordt uitgezet tegen de tijd, waardoor de beweging van het object in de tijd kan worden gevisualiseerd. |
| Tijdrek                         | Een fenomeen voorspeld door de speciale relativiteitstheorie waarbij tijd langzamer lijkt te gaan voor een waarnemer in beweging ten opzichte van een stilstaand referentiestelsel. |
| Toepassingen van de onbepaaldheidsrelatie | Diverse toepassingen in de kwantummechanica waarin de onbepaaldheidsrelatie cruciaal is voor het begrijpen van de aard van deeltjes en golven. |
| Toestand functies                | Wiskundige functies die de kwantumtoestand van een deeltje in een systeem beschrijven.                              |
| Toonvorming in snaar         | Het proces waarbij trillingen van een snaar een specifieke toonhoogte produceren, afhankelijk van factoren zoals lengte, spanning en massa van de snaar. |
| Toonvorming in buis gesloten | Het proces waarbij trillingen van een luchtzuil in een gesloten buis resulteren in een specifieke toonhoogte, afhankelijk van de lengte van de buis. |
| Toonvorming in buis open     | Het proces waarbij trillingen van een luchtzuil in een open buis resulteren in een specifieke toonhoogte, afhankelijk van de lengte van de buis. |
| Toonvorming in een snaar            | Het proces waarbij een snaar trilt en geluid produceert door resonantie.                                           |
| Toonvorming in een buis             | Het proces waarbij een luchtkolom in een buis trilt en geluid produceert door resonantie.                          |
| Totale terugkaatsing           | Een verschijnsel waarbij licht dat een grens tussen twee media raakt, volledig wordt teruggekaatst in plaats van gebroken. |
| Traagheid                  | De eigenschap van een object om weerstand te bieden tegen veranderingen in zijn bewegingstoestand, zoals veranderingen in snelheid of richting. |
| Tracers                       | Radioactieve stoffen die worden geïnjecteerd in het lichaam om de circulatie, absorptie, metabolisme en uitscheiding van verschillende stoffen te volgen. |
| Transformator                          | Een elektrisch apparaat dat spanningen en stromen transformeert tussen twee verschillende circuits via elektromagnetische inductie. |
| Transport van warmte    | De processen waardoor warmte wordt overgedragen tussen systemen of objecten.                                         |
| Transport van elektrische energie       | Het proces waarbij elektrische energie wordt overgedragen van de ene locatie naar de andere.                             |
| Transversale golf            | Een golf waarbij deeltjes van het medium loodrecht op de richting van golfbeweging bewegen, zoals een lichtgolf.   |
| Transversale golven                 | Golven waarbij deeltjes van het medium loodrecht op de richting van golfvoortplanting bewegen.                     |
| Trilling                     | Een periodieke beweging rond een evenwichtspositie, gekenmerkt door een herhaaldelijke verplaatsing van het object heen en weer. |
| Trillingen                   | Periodieke bewegingen van een object rond een evenwichtspunt.                                                     |
| Trillingen                          | Periodieke bewegingen rond een evenwichtspositie.                                                                 |
| Trillingsenergie             | De energie geassocieerd met de beweging van een object tijdens trillingen, inclusief kinetische en potentiële energie. |
| Trillingstijd                | De tijd die nodig is voor een trillend object om één complete cyclus van beweging uit te voeren.                  |
| Trillingstijd                       | De tijd die nodig is voor een complete cyclus van een harmonische trilling.                                        |
| Trillingstijd                       | De tijd die nodig is voor één volledige trilling of oscillatie van een deeltje in een golf.                        |
| Tunnel effect                    | Het kwantummechanische fenomeen waarbij een deeltje door een potentiaalbarrière kan 'tunnelen', zelfs als het energie tekortkomt om de barrière klassiek te overwinnen. |
| Tunneleffect bij alfaverval      | Het proces waarbij een alfadeeltje door een potentiaalbarrière 'tunnelt', wat resulteert in radioactief verval.       |
| Tunneleffect bij kernfusie       | Het fenomeen waarbij kernen dichtbij genoeg komen om de elektrostatische afstoting te overwinnen en kernfusie plaatsvindt via tunneling. |
| Tweede wet van Newton                 | De versnelling van een object is recht evenredig met de resulterende kracht die erop wordt uitgeoefend en omgekeerd evenredig met de massa van het object. |
| Typen versnellers                   | Verschillende soorten deeltjesversnellers, zoals lineaire versnellers, cyclotrons en synchrotrons.                   |
| Uitdijend heelal                  | Het concept dat het universum zich in alle richtingen uitbreidt.                                                 |
| Uittree energie bij foto-elektrisch effect | De minimale energie die een foton moet hebben om een elektron uit een materiaal te bevrijden in het foto-elektrisch effect. |
| Uitvoerelementen              | Componenten die output produceren als reactie op input van een systeem.                                          |
| Uitwijking-tijd diagram      | Een grafische weergave die de uitwijking of verplaatsing van een trillend object in de tijd illustreert.           |
| Ultrasone plaats sensor            | Een sensor die ultrasone geluidsgolven gebruikt om de afstand tot een object te meten.                  |
| Ultrazone plaats sensor     | Een sensor die ultrageluidsgolven gebruikt om de afstand tot objecten te meten.                                    |
| Valbeweging                           | De beweging van een object onder invloed van de zwaartekracht.                                                     |
| Valversnelling                | De versnelling waarmee een voorwerp in vrije val versnelt als gevolg van de zwaartekracht op het oppervlak van een hemellichaam. |
| Valversnelling                     | De versnelling waarmee een object valt onder invloed van de zwaartekracht.                                      |
| Veerenergie                    | De potentiele energie die wordt opgeslagen in een veer wanneer deze wordt samengedrukt of uitgerekt.              |
| Veerkracht                 | De kracht die wordt uitgeoefend door een veer of elastisch materiaal wanneer het wordt samengedrukt of uitgerekt. |
| Veerkracht                        | De kracht die wordt uitgeoefend door een veer wanneer deze wordt samengedrukt of uitgerekt.              |
| Veldlijnen                   | Imaginaire lijnen die de richting en sterkte van een elektrisch of magnetisch veld aangeven.                      |
| Verband druk-volume bij gas| De relatie tussen de druk en het volume van een gas, zoals beschreven door de wet van Boyle.                 |
| Verband druk-temperatuur bij gas | De relatie tussen de druk en de temperatuur van een gas, zoals beschreven door de wet van Gay-Lussac.       |
| Verband resulterende kracht en versnelling | De versnelling van een object is recht evenredig met de resulterende kracht die erop werkt.                     |
| Verband resulterende kracht en massa  | De versnelling van een object is omgekeerd evenredig met de massa van het object volgens de tweede wet van Newton. |
| Verbonden onderzoeken       | Het analyseren van de relatie tussen verschillende variabelen, vaak door middel van grafische weergave, wiskundige modellering en experimenten. |
| Verdampingswarmte          | De hoeveelheid warmte die nodig is om een stof van de vloeibare naar de gasvormige fase te verdampen, ook wel latente verdampingswarmte genoemd. |
| Vermenigvuldigingsfactoren          | Getallen waarmee een grootheid wordt vermenigvuldigd om deze in een andere eenheid uit te drukken.                    |
| Vermogen                      | De snelheid waarmee arbeid wordt verricht of energie wordt overgedragen, gemeten in watt.                         |
| Vermogen                       | De snelheid waarmee energie wordt overgedragen of omgezet, gemeten als de hoeveelheid arbeid per tijdseenheid.    |
| Vermogen                                | De snelheid waarmee elektrische energie wordt overgedragen, uitgedrukt in watt (W).                                     |
| Vermogen                          | De snelheid waarmee arbeid wordt verricht, of de hoeveelheid energie die per tijdseenheid wordt overgedragen. |
| Verplaatsing                        | De verandering in positie van een object, gemeten vanaf het startpunt tot het eindpunt, inclusief richting. |
| Verschuiving wet van Wien          | Een verschijnsel waarbij de golflengte van het uitgestraalde licht van een object verschuift naar het rood of blauw uiteinde van het spectrum als gevolg van respectievelijk een beweging van de lichtbron naar de waarnemer toe of van de waarnemer af. |
| Versnellen                         | Het proces waarbij de snelheid van een object toeneemt.                                                   |
| Versnelling                 | De mate van verandering van snelheid van een object per tijdseenheid, gemeten in meters per seconde kwadraat (m/s²).|
| Vertragen                          | Het proces waarbij de snelheid van een object afneemt.                                                    |
| Vertraging                  | De mate van afname van snelheid van een object per tijdseenheid, aangeduid als negatieve versnelling.              |
| Verval bij kernreacties              | Het proces waarbij de ene kern spontaan transformeert in een andere kern, waarbij vaak straling wordt uitgezonden.  |
| Vervalvergelijking            | Een wiskundige vergelijking die het verval van radioactieve isotopen beschrijft.                              |
| Videometen                  | Het proces van het meten van posities, snelheden of andere grootheden door middel van videobeelden.                |
| Videometen                         | Het proces van het meten van fysieke grootheden zoals afstand, snelheid of versnelling met videobeelden en analyse. |
| Vier fundamentele krachten          | De vier bekende fundamentele krachten in de natuurkunde: zwaartekracht, elektromagnetisme, sterke kernkracht en zwakke kernkracht. |
| Vlakke golf                       | Een ideale representatie van licht als een continue golffront met gelijke amplitude en fase.                       |
| Voorplanting van licht         | Het proces waarbij licht zich voortplant door de ruimte of een medium.                                           |
| Voortplanting van geluid      | Het proces waarbij geluidsgolven zich door een medium verspreiden, zoals lucht, water of vaste stoffen.          |
| Voorvoegsels                | Prefixen die worden toegevoegd aan een eenheid om verschillende veelvouden of subdelen van die eenheid aan te geven, zoals kilo-, centi-, milli-, enzovoort. |
| Vrije val                   | Een specifiek geval van eenparig versnelde beweging waarbij een object onder invloed van zwaartekracht valt zonder enige andere krachten die zijn beweging beïnvloeden. |
| Vrije val                           | Een beweging waarbij een object alleen door de zwaartekracht wordt beïnvloed, zonder luchtwrijving.       |
| Warmte                     | De vorm van energie die wordt overgedragen als gevolg van temperatuurverschillen tussen objecten.            |
| Warmte                         | Een vorm van energie die wordt overgedragen als gevolg van temperatuurverschillen tussen objecten.                |
| Warmte                  | De vorm van energieoverdracht tussen systemen of objecten als gevolg van temperatuurverschillen.                      |
| Warmte                            | De vorm van energie die wordt overgedragen als gevolg van temperatuurverschillen.                      |
| Warmtegeleiding            | Het proces waarbij warmte wordt overgedragen door middel van direct contact tussen deeltjes.                |
| Warmtegeleiding         | Het proces waarbij warmte wordt overgedragen door direct contact tussen de deeltjes van een materiaal.                |
| Warmtestraling             | De overdracht van warmte door middel van elektromagnetische golven, zonder direct contact tussen de bron en het object. |
| Warmtestraling          | Het proces waarbij warmte wordt overgedragen door elektromagnetische golven, zoals infraroodstraling.                 |
| Warmtestromen              | De beweging van warmte door een materiaal of medium, vaak van een warmere naar een koelere regio.            |
| Warmtestroming          | Het proces waarbij warmte wordt overgedragen door de beweging van vloeistoffen of gassen.                             |
| Warmtestroom               | De hoeveelheid warmte die per tijdseenheid door een materiaal of medium passeert.                          |
| Warmtestroom            | De hoeveelheid warmte die per tijdseenheid door een materiaal of systeem wordt overgedragen.                          |
| Warmtetransport            | Het proces van overdracht van warmte van een warmere naar een koelere omgeving.                             |
| Weerkaatsing van licht          | Het proces waarbij lichtstralen terugkaatsen van een oppervlak.                                                   |
| Weerstand                     | De eigenschap van een materiaal om de doorgang van elektrische stroom te belemmeren.                              |
| Weerstand van materiaal        | De mate waarin een materiaal de doorgang van elektrische stroom belemmert, gemeten in ohm.                        |
| Weerstand                               | De eigenschap van een materiaal om de stroom van elektrische lading te belemmeren.                                       |
| Weerstand van materiaal                 | De mate waarin een materiaal de stroom van elektrische lading beperkt.                                                   |
| Weerstanden                            | Componenten die de stroom van elektrische lading beperken in een elektrisch circuit.                                     |
| Weerstandskrachten         | Krachten die tegenwerken bij de beweging van een object, zoals luchtweerstand of wrijving.                    |
| Weerstandskrachten                | Krachten die tegenwerken en de beweging van een object vertragen, zoals luchtweerstand of wrijving.     |
| Werklijnen van kracht             | Denkbeeldige lijnen die de richting van krachten aangeven en helpen bij het bepalen van de resulterende kracht. |
| Wet van Ohm                   | Een natuurwet die stelt dat de stroom door een geleider recht evenredig is met de spanning over de geleider, bij constante temperatuur. |
| Wet van arbeid en kinetische energie | Een natuurwet die stelt dat de arbeid verricht door een resulterende kracht gelijk is aan de verandering in kinetische energie van een object. |
| Wet van behoud van energie     | Een natuurwet die stelt dat de totale energie in een gesloten systeem constant blijft, waarbij energie niet kan worden gecreëerd of vernietigd, alleen omgezet van de ene vorm naar de andere. |
| Wet van Coulomb              | Een natuurkundige wet die de kracht beschrijft tussen twee elektrische ladingen, waarbij de kracht evenredig is met het product van de ladingen en omgekeerd evenredig met het kwadraat van de afstand tussen hen. |
| Wet van Wien                  | Een wet die de relatie beschrijft tussen de temperatuur van een zwart lichaam en de golflengte waarbij het maximale vermogen wordt uitgestraald. |
| Wet van Stefan-Boltzmann      | Een natuurkundige wet die de totale stralingsenergie van een zwart lichaam relateert aan zijn temperatuur.           |
| Wet van behoud van impuls           | De wet die stelt dat de totale impuls van een geïsoleerd systeem constant blijft in de tijd.                        |
| Wet van Ohm                             | De wet die de relatie beschrijft tussen spanning, stroomsterkte en weerstand in een elektrisch circuit.                  |
| Wet van arbeid en kinetische energie | De wet die stelt dat de arbeid die wordt verricht op een object gelijk is aan de verandering in kinetische energie van dat object. |
| Wet van behoud van energie        | De wet die stelt dat energie niet kan worden gecreëerd of vernietigd, alleen omgezet van de ene vorm naar de andere. |
| Wetenschappelijke notatie           | Een methode om zeer grote of zeer kleine getallen te schrijven met machten van 10, voor een eenvoudigere presentatie.|
| Wrijving                              | De kracht die ontstaat wanneer twee oppervlakken tegen elkaar wrijven, waardoor beweging wordt belemmerd.        |
| Zekeringen                    | Beschermende apparaten die ontworpen zijn om te smelten en de stroomtoevoer naar een circuit te onderbreken wanneer de stroomsterkte een bepaalde waarde overschrijdt. |
| Zekeringen                              | Apparaten die elektrische stroom onderbreken bij overbelasting of kortsluiting om schade te voorkomen.                   |
| Zonnecel                                | Een apparaat dat zonne-energie omzet in elektrische energie via het fotovoltaïsche effect.                              |
| Zonnestelsel                       | Het geheel van de Zon, planeten, manen, en andere hemellichamen die door de zwaartekracht aan elkaar gebonden zijn. |
| Zonsverduistering                  | Een verschijnsel waarbij de maan tussen de aarde en de zon komt, waardoor de zon tijdelijk niet zichtbaar is.    |
| Zuiderlicht                  | Een natuurlijk fenomeen waarbij gekleurde lichten in de lucht verschijnen in de buurt van de magnetische polen van de aarde als gevolg van interacties tussen zonnewind en het aardmagnetisch veld.                                                                                                 |
| Zwaarte energie                | De potentiele energie die een object heeft als gevolg van zijn positie ten opzichte van een zwaartepunt of een referentiepunt in een zwaartekrachtveld. |
| Zwaarte-energie                   | De energie die wordt opgeslagen in een object als gevolg van zijn positie in een zwaartekrachtsveld.    |
| Zwaartekracht               | De aantrekkende kracht die objecten met massa naar elkaar toe trekt en verantwoordelijk is voor het houden van hemellichamen in een baan. |
| Zwaartekracht                   | De kracht die massa's aantrekt naar elkaar toe.                                                                     |
| Zwaartekracht                     | De aantrekkende kracht die alle massa's op elkaar uitoefenen, gerelateerd aan hun massa en de afstand tussen hen. |
| Zwaartepunt                           | Het punt waar de totale massa van een object geconcentreerd lijkt te zijn, en waar de zwaartekracht kan worden gemodelleerd als een enkele puntlast. |
| Zwart gat                       | Een gebied in de ruimte waaruit niets kan ontsnappen vanwege de enorme zwaartekracht, zelfs geen licht.            |
